regions,county,primary_city,zip
,St. Clair County,Dupo,62239
,Madison County,Highland,62249
,St. Clair County,Lebanon,62254
,St. Clair County,Marissa,62257
,St. Clair County,Mascoutah,62258
,Clinton County,New Baden,62265
,St. Clair County,O Fallon,62269
,Randolph County,Percy,62272
,Perry County,Pinckneyville,62274
,Randolph County,Red Bud,62278
,Randolph County,Sparta,62286
,Randolph County,Steeleville,62288
,Madison County,Troy,62294
,Monroe County,Valmeyer,62295
,Monroe County,Waterloo,62298
,Adams County,Quincy,62301
,Adams County,Quincy,62305
,Jasper County,Newton,62448
,Crawford County,Robinson,62454
,Fayette County,Vandalia,62471
,Macon County,Decatur,62521
,Macon County,Decatur,62522
,Macon County,Decatur,62526
,Shelby County,Shelbyville,62565
,Christian County,Taylorville,62568
,Cass County,Beardstown,62618
,Sangamon County,Chatham,62629
,Morgan County,Jacksonville,62650
,Logan County,Lincoln,62656
,Mason County,Mason City,62664
,Sangamon County,Sherman,62684
,Sangamon County,Springfield,62702
,Sangamon County,Springfield,62703
,Sangamon County,Springfield,62704
,Sangamon County,Springfield,62707
,Sangamon County,Springfield,62711
,Marion County,Centralia,62801
,Perry County,Du Quoin,62832
,Jefferson County,Mount Vernon,62864
,Jackson County,Carbondale,62901
,Jackson County,Carbondale,62902
,Union County,Anna,62906
,Jackson County,Ava,62907
,Williamson County,Carterville,62918
,Union County,Cobden,62920
,Williamson County,Herrin,62948
,Williamson County,Marion,62959
,Jackson County,Murphysboro,62966
,Pulaski County,Ullin,62992
,LaSalle County,Somonauk,60552
,St. Clair County,Smithton,62285
,McHenry County,Alden,60001
,Cook County,Arlington Heights,60006
,Cook County,Elk Grove Village,60009
,Cook County,Barrington,60011
,Cook County,Des Plaines,60017
,Cook County,Des Plaines,60019
,Cook County,Golf,60029
,McHenry County,Hebron,60034
,Lake County,Fort Sheridan,60037
,Cook County,Palatine,60038
,Mchenry County,Crystal Lake,60039
,Lake County,Lake Zurich,60049
,Cook County,Palatine,60055
,Cook County,Northbrook,60065
,McHenry County,Ringwood,60072
,Lake County,Russell,60075
,Cook County,Palatine,60078
,Lake County,Waukegan,60079
,Cook County,Techny,60082
,Lake County,North Chicago,60086
,Lake County,Libertyville,60092
,Cook County,Palatine,60094
,Cook County,Palatine,60095
,Dupage County,Bensenville,60105
,Kane County,Burlington,60109
,DeKalb County,Clare,60111
,Ogle County,Creston,60113
,Dupage County,Carol Stream,60116
,Dupage County,Bloomingdale,60117
,Kane County,Elgin,60121
,Dupage County,Carol Stream,60122
,Dupage County,Carol Stream,60125
,Dupage County,Carol Stream,60128
,DeKalb County,Esmond,60129
,Dupage County,Carol Stream,60132
,Dupage County,Glen Ellyn,60138
,Kane County,Kaneville,60144
,DeKalb County,Kingston,60145
,DeKalb County,Kirkland,60146
,Kane County,Lafox,60147
,DeKalb County,Malta,60150
,Kane County,Maple Park,60151
,Cook County,Schaumburg,60159
,Cook County,Melrose Park,60161
,Cook County,Schaumburg,60168
,Kane County,Plato Center,60170
,Cook County,Hoffman Estates,60179
,McHenry County,Union,60180
,Kane County,Wasco,60183
,DuPage County,Wayne,60184
,Dupage County,West Chicago,60186
,Cook County,Schaumburg,60196
,Dupage County,Carol Stream,60197
,Dupage County,Carol Stream,60199
,Cook County,Evanston,60204
,Cook County,Evanston,60208
,Cook County,Evanston,60209
,Cook County,Chicago,60290
,Cook County,Oak Park,60303
,Dupage County,Wood Dale,60399
,Grundy County,Braceville,60407
,Cook County,Chicago Heights,60412
,Grundy County,Coal City,60416
,Livingston County,Dwight,60420
,Will County,Elwood,60421
,Grundy County,Gardner,60424
,Grundy County,Kinsman,60437
,Grundy County,Mazon,60444
,Cook County,Oak Lawn,60454
,Livingston County,Odell,60460
,LaSalle County,Ransom,60470
,Grundy County,South Wilmington,60474
,Grundy County,Verona,60479
,Cook County,Bedford Park,60499
,Kane County,Aurora,60507
,Kane County,Big Rock,60511
,Kendall County,Bristol,60512
,LaSalle County,Earlville,60518
,DuPage County,Eola,60519
,DeKalb County,Hinckley,60520
,Dupage County,Hinsdale,60522
,Lee County,Lee,60530
,LaSalle County,Leland,60531
,Kendall County,Millbrook,60536
,LaSalle County,Millington,60537
,Kane County,Mooseheart,60539
,Kendall County,Newark,60541
,LaSalle County,Serena,60549
,DeKalb County,Shabbona,60550
,Lee County,Steward,60553
,DeKalb County,Waterman,60556
,LaSalle County,Wedron,60557
,Dupage County,Naperville,60566
,Dupage County,Naperville,60567
,Kane County,Aurora,60568
,,Aurora,60569
,Dupage County,Hinsdale,60570
,Kane County,Aurora,60572
,Dupage County,Fox Valley,60597
,Kane County,Aurora,60598
,Dupage County,Fox Valley,60599
,Cook County,Chicago,60603
,Cook County,Chicago,60663
,Cook County,Chicago,60664
,Cook County,Chicago,60666
,Cook County,Chicago,60668
,Cook County,Chicago,60669
,Cook County,Chicago,60670
,Cook County,Chicago,60673
,Cook County,Chicago,60674
,Cook County,Chicago,60675
,Cook County,Chicago,60677
,Cook County,Chicago,60678
,Cook County,Chicago,60679
,Cook County,Chicago,60680
,Cook County,Chicago,60681
,Cook County,Chicago,60682
,Cook County,Chicago,60684
,Cook County,Chicago,60685
,Cook County,Chicago,60686
,Cook County,Chicago,60687
,Cook County,Chicago,60688
,Cook County,Chicago,60689
,Cook County,Chicago,60690
,Cook County,Chicago,60691
,Cook County,Chicago,60693
,Cook County,Chicago,60694
,Cook County,Chicago,60695
,Cook County,Chicago,60696
,Cook County,Chicago,60697
,Cook County,Chicago,60699
,Cook County,Chicago,60701
,Kankakee County,Aroma Park,60910
,Iroquois County,Ashkum,60911
,Iroquois County,Beaverville,60912
,Kankakee County,Bonfield,60913
,Kankakee County,Buckingham,60917
,Iroquois County,Buckley,60918
,Ford County,Cabery,60919
,Livingston County,Campus,60920
,Livingston County,Chatsworth,60921
,Iroquois County,Cissna Park,60924
,Iroquois County,Claytonville,60926
,Iroquois County,Crescent City,60928
,Livingston County,Cullom,60929
,Iroquois County,Danforth,60930
,Iroquois County,Donovan,60931
,Vermilion County,East Lynn,60932
,Ford County,Elliott,60933
,Livingston County,Emington,60934
,Kankakee County,Essex,60935
,Ford County,Gibson City,60936
,Iroquois County,Gilman,60938
,Iroquois County,Goodwine,60939
,Kankakee County,Grant Park,60940
,Kankakee County,Herscher,60941
,Vermilion County,Hoopeston,60942
,Kankakee County,Hopkins Park,60944
,Iroquois County,Iroquois,60945
,Ford County,Kempton,60946
,Iroquois County,Loda,60948
,Champaign County,Ludlow,60949
,Iroquois County,Martinton,60951
,Ford County,Melvin,60952
,Iroquois County,Milford,60953
,Iroquois County,Onarga,60955
,Iroquois County,Papineau,60956
,Ford County,Paxton,60957
,Ford County,Piper City,60959
,Vermilion County,Rankin,60960
,Kankakee County,Reddick,60961
,Ford County,Roberts,60962
,Vermilion County,Rossville,60963
,Iroquois County,Sheldon,60966
,Iroquois County,Stockland,60967
,Iroquois County,Thawville,60968
,Kankakee County,Union Hill,60969
,Iroquois County,Watseka,60970
,Iroquois County,Wellington,60973
,Iroquois County,Woodland,60974
,Jo Daviess County,Apple River,61001
,Lee County,Ashton,61006
,Ogle County,Baileyville,61007
,Ogle County,Byron,61010
,Boone County,Caledonia,61011
,Boone County,Capron,61012
,Stephenson County,Cedarville,61013
,Carroll County,Chadwick,61014
,Ogle County,Chana,61015
,Stephenson County,Dakota,61018
,Stephenson County,Davis,61019
,Ogle County,Davis Junction,61020
,Winnebago County,Durand,61024
,Jo Daviess County,East Dubuque,61025
,Stephenson County,Eleroy,61027
,Jo Daviess County,Elizabeth,61028
,Ogle County,Forreston,61030
,Lee County,Franklin Grove,61031
,Jo Daviess County,Galena,61036
,Whiteside County,Galt,61037
,Boone County,Garden Prairie,61038
,Stephenson County,German Valley,61039
,Jo Daviess County,Hanover,61041
,Lee County,Harmon,61042
,Ogle County,Holcomb,61043
,Stephenson County,Kent,61044
,Carroll County,Lanark,61046
,Ogle County,Leaf River,61047
,Stephenson County,Lena,61048
,Ogle County,Lindenwood,61049
,Stephenson County,Mc Connell,61050
,Carroll County,Milledgeville,61051
,Ogle County,Monroe Center,61052
,Carroll County,Mount Carroll,61053
