"","2020-04-11","2020-04-13","2020-04-20","2020-04-21","2020-04-23","2020-04-25","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-04","2020-05-05","2020-05-06","county","population_2015","primary_city","zip"
"784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lee County",690,"Sublette",61367
"785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bureau County",1310,"Tiskilwa",61368
"786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marshall County",1390,"Toluca",61369
"787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LaSalle County",1350,"Tonica",61370
"788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"La Salle County",114,"Triumph",61371
"789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LaSalle County",273,"Troy Grove",61372
"790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LaSalle County",1920,"Utica",61373
"791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bureau County",139,"Van Orin",61374
"792",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marshall County",1010,"Varna",61375
"793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bureau County",1930,"Walnut",61376
"794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marshall County",1260,"Wenona",61377
"795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lee County",440,"West Brooklyn",61378
"796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bureau County",1190,"Wyanet",61379
"797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knox County",568,"Galesburg",61402
"798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knox County",3360,"Abingdon",61410
"799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McDonough County",310,"Adair",61411
"800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Warren County",1290,"Alexis",61412
"801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Henry County",1040,"Alpha",61413
"802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knox County",760,"Altona",61414
"803",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",1580,"Avon",61415
"804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McDonough County",254,"Bardolph",61416
"805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Warren County",230,"Berwick",61417
"806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Henderson County",590,"Biggsville",61418
"807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Henry County",142,"Bishop Hill",61419
"808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McDonough County",960,"Blandinsville",61420
"809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stark County",1190,"Bradford",61421
"810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McDonough County",2880,"Bushnell",61422
"811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Warren County",570,"Cameron",61423
"812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marshall County",82,"Camp Grove",61424
"813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Henderson County",400,"Carman",61425
"814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stark County",58,"Castleton",61426
"815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",1960,"Cuba",61427
"816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knox County",980,"Dahinda",61428
"817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knox County",780,"East Galesburg",61430
"818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",290,"Ellisville",61431
"819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",620,"Fairview",61432
"820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",110,"Fiatt",61433
"821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Henry County",2870,"Galva",61434
"822",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Warren County",123,"Gerlaw",61435
"823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knox County",830,"Gilson",61436
"824",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Henderson County",690,"Gladstone",61437
"825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McDonough County",630,"Good Hope",61438
"826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knox County",268,"Henderson",61439
"827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McDonough County",650,"Industry",61440
"828",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",750,"Ipava",61441
"829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mercer County",560,"Keithsburg",61442
"830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Warren County",850,"Kirkwood",61447
"831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knox County",3500,"Knoxville",61448
"832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stark County",390,"La Fayette",61449
"833",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hancock County",1530,"La Harpe",61450
"834",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Peoria County",300,"Laura",61451
"835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Schuyler County",230,"Littleton",61452
"836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Warren County",600,"Little York",61453
"837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Henderson County",570,"Lomax",61454
"838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Knox County",700,"Maquon",61458
"839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fulton County",320,"Marietta",61459
"840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Henderson County",270,"Media",61460
"841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mercer County",1110,"New Windsor",61465
"842",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mercer County",280,"North Henderson",61466
